City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,urazovka,55.4013,45.6186,1.66,99,100,1.55,RU,1679325201
292,los llanos de aridane,28.6585,-17.9182,19.86,75,75,6.17,ES,1679325202
293,peniche,39.3558,-9.3811,22.82,68,99,4.02,PT,1679325202
294,taoudenni,22.6783,-3.9836,30.21,14,0,6.81,ML,1679325202
295,kruisfontein,-34.0033,24.7314,24.94,48,2,4.6,ZA,1679325204
296,salinopolis,-0.6136,-47.3561,23.81,92,100,1.4,BR,1679325204
297,kilindoni,-7.9139,39.6668,26.36,77,99,1.01,TZ,1679325205
298,glenwood springs,39.5505,-107.3248,1.86,72,100,5.66,US,1679325058
299,lorengau,-2.0226,147.2712,27.03,80,63,2.75,PG,1679325205
300,tayu,-6.5397,111.0518,25.72,88,100,1.63,ID,1679325206
301,arys,42.4252,68.795,10.93,48,92,4.97,KZ,1679325207
302,guhagar,17.4842,73.1929,24.5,63,0,2.84,IN,1679325207
303,khalilabad,26.775,83.0736,19.53,82,100,2.3,IN,1679325139
304,khudumelapye,-23.8833,24.75,34.59,14,8,4.56,BW,1679325208
305,longyearbyen,78.2186,15.6401,-17.09,55,40,6.69,SJ,1679325101
306,agadez,19.75,10.25,36.53,6,55,7.04,NE,1679325208
307,antofagasta,-23.65,-70.4,23.6,64,41,2.86,CL,1679325169
308,sussex,41.1834,-74.6663,5.75,44,0,3.09,US,1679325209
309,powell,40.1578,-83.0752,3.43,56,0,6.17,US,1679325122
310,maputo,-25.9653,32.5892,28.82,78,20,5.66,MZ,1679325210
311,soyo,-6.1349,12.3689,28.82,63,100,3.13,AO,1679325212
312,hualmay,-11.0964,-77.6139,25.07,73,98,2.6,PE,1679325213
313,mayo,38.8876,-76.5119,6.64,39,0,2.57,US,1679325213
314,biltine,14.5333,20.9167,35.86,12,100,4.14,TD,1679325214
315,fallon,39.4735,-118.7774,5.93,60,0,4.63,US,1679325038
316,nampula,-15.1165,39.2666,23.41,94,91,2.31,MZ,1679325214
317,sao joaquim,-28.2939,-49.9317,24.64,49,9,2.62,BR,1679325215
318,boa vista,2.8197,-60.6733,30.99,45,0,6.69,BR,1679324969
319,ancud,-41.8697,-73.8203,12.64,65,100,1.47,CL,1679325215
320,otane,-39.8833,176.6333,18.89,86,98,0.38,NZ,1679325216
321,sobolevo,54.4299,31.8996,1.66,95,100,2.29,RU,1679325216
322,sokolka,53.4072,23.5023,14.81,52,88,3.14,PL,1679325154
323,the valley,18.217,-63.0578,27.92,78,75,8.23,AI,1679325216
324,kinkala,-4.3614,14.7644,26.56,69,100,1.74,CG,1679325217
325,zwedru,6.0667,-8.1281,35.29,36,41,1.98,LR,1679325217
326,bandarbeyla,9.4942,50.8122,27.26,80,100,6.94,SO,1679325217
327,badarpur,24.9,92.6,18.61,94,73,1.62,IN,1679325218
328,alta floresta,-9.8756,-56.0861,25.12,82,99,2.05,BR,1679325218
329,nabire,-3.3667,135.4833,24.89,91,100,1.17,ID,1679325218
330,maiduguri,11.8464,13.1603,37.48,9,53,1.43,NG,1679325219
331,nome,64.5011,-165.4064,-4.91,93,100,14.4,US,1679325219
332,honningsvag,70.9821,25.9704,-2.14,64,75,10.8,NO,1679325219
333,ixtapa,20.7,-105.2,22.9,77,0,2.57,MX,1679325220
334,presidencia roque saenz pena,-26.7852,-60.4388,34.56,37,0,3.18,AR,1679325220
